time	hru_evap(1)	soil_runoff(1)	soil_moist(1)	soil_rechr(1)	runoff(1)	meltrunoff(1)	infil(1)	hru_actet(1)	Sdex(1)	Sdexcess(1)	basinflow_m(1)	gwoutflow_m(1)	outflow_m(1)	runoutflow_m(1)	Sd(1)
units	(mm/int)	(mm/int)	(mm)	(mm)	(mm/int)	(mm/int)	(mm/int)	(mm/int)	(mm)	(mm/int)	(mm/int)	(mm/int)	(mm/int)	(mm/int)	(mm)
40829.54167	0.170469	0	228.852	38.8522	0	0	0	0.0970774	0	0	0	0	0	0	11.1601
40829.58333	0.168618	0	228.764	38.7643	0	0	0	0.0958203	0	0	0	0	0	0	11.1523
40829.625	0.156883	0	228.683	38.6826	0	0	0	0.0889655	0	0	0	0	0	0	11.145
40829.66667	0.146734	0	228.606	38.6064	0	0	0	0.083048	0	0	0	0	0	0	11.1382
40829.70833	0.113938	0	228.547	38.5473	0	0	0	0.064369	0	0	0	0	0	0	11.1329
40829.75	0	0	228.547	38.5473	0	0	0	0	0	0	0	0	0	0	11.1329
40829.79167	0	0	228.547	38.5473	0	0	0	0	0	0	0	0	0	0	11.1329
40829.83333	0	0	228.547	38.5473	0	0	0	0	0	0	0	0	0	0	11.1329
40829.875	0	0	228.547	38.5473	0	0	0	0	0	0	0	0	0	0	11.1329
40829.91667	0	0	228.547	38.5473	0	0	0	0	0	0	0	0	0	0	11.1329
40829.95833	0	0	228.547	38.5473	0	0	0	0	0	0	0	0	0	0	11.1329
40830	0	0	235.547	45.5473	0	0	7	0	0	0	0	0	0	0	11.1329
40830.04167	0	0	245.747	55.7473	0	0	10.2	0	0	0	0	0	0	0	11.1329
40830.08333	0	0	247.747	57.7473	0	0	2	0	0	0	0	0	0	0	11.1329
40830.125	0	0	247.947	57.9473	0	0	0.2	0	0	0	0	0	0	0	11.1329
40830.16667	0	0	247.947	57.9473	0	0	0	0	0	0	0	0	0	0	11.1329
40830.20833	0	0	247.947	57.9473	0	0	0	0	0	0	0	0	0	0	11.1329
40830.25	0	0	248.347	58.3473	0	0	0.4	0	0	0	0	0	0	0	11.1329
40830.29167	0	0	248.347	58.3473	0	0	0	0	0	0	0	0	0	0	11.1329
40830.33333	0.0937433	0	249.258	59.2576	0	0	1	0.0937433	0	0	0	0	0	0	11.1289
40830.375	0.145511	0	251.718	61.7182	0	0	2.6	0.145511	0	0	0	0	0	0	11.1227
40830.41667	0.126579	0	254.597	64.5969	0	0	3	0.126579	0	0	0	0	0	0	11.1174
40830.45833	0.129231	0	254.673	64.6731	0	0	0.2	0.129231	0	0	0	0	0	0	11.112
40830.5	0.120162	0	254.958	64.9579	0	0	0.4	0.120162	0	0	0	0	0	0	11.107
40830.54167	0.110769	0	255.252	65.2518	0	0	0.4	0.110769	0	0	0	0	0	0	11.1024
40830.58333	0.121681	0	255.735	65.7352	0	0	0.6	0.121681	0	0	0	0	0	0	11.0973
40830.625	0.130333	0	256.61	66.6102	0	0	1	0.130333	0	0	0	0	0	0	11.0919
40830.66667	0.12778	0	256.688	66.6878	0	0	0.2	0.12778	0	0	0	0	0	0	11.0866
40830.70833	0.0863191	0	256.605	66.605	0	0	0	0.0863191	0	0	0	0	0	0	11.0831
40830.75	0	0	256.805	66.805	0	0	0.2	0	0	0	0	0	0	0	11.0831
